instance,from,nb_toots,n,p,nb_toots_total,paverage,logratio
mastodon.vlaanderen,mastodon-belgium.be,65,317,0.20504731861198738,1162,0.0019066559027572673,4.677889903699859
mastodon.nosink.eu,mastodontech.de,66,322,0.20496894409937888,895,0.0014685516634834373,4.938581823300522
stoneartprod.xyz,framapiaf.org,68,332,0.20481927710843373,7801,0.012800191650094184,2.7726678717646647
toot.kuba-orlik.name,101010.pl,70,342,0.2046783625730994,2394,0.003928170594837262,3.953265963962195
friend.geoffray-levasseur.org,mamot.fr,71,347,0.20461095100864554,16099,0.02641588070437973,2.0471450049455218
newsie.social,journa.host,55,269,0.20446096654275092,8952,0.014688798314529308,2.6332919007322304
social.piweb.be,framapiaf.org,69,338,0.20414201183431951,7801,0.012800191650094184,2.769355744619287
social.thiskurt.me,glaceon.social,62,304,0.20394736842105263,984,0.0016145864099080473,4.8387831316799765
m.mtlynch.io,fosstodon.org,63,309,0.20388349514563106,15642,0.025666016894087068,2.0723809114255904
until.cloud,respublicae.eu,74,363,0.20385674931129477,4140,0.006793076968515565,3.4015135372133187
ricard.social,fosstodon.org,65,319,0.20376175548589343,15642,0.025666016894087068,2.0717836290425957
mastodon.pro,fosstodon.org,82,403,0.20347394540942929,15642,0.025666016894087068,2.070370147249373
forcedconversation.com,hachyderm.io,72,354,0.2033898305084746,6200,0.010173207054298672,2.9953669799424576
fediweij.nl,mastodon.art,66,325,0.20307692307692307,18951,0.031095555949357118,1.8765199252232376
mastodon.joeyboon.nl,fediscience.org,67,330,0.20303030303030303,4290,0.007039202945635694,3.361860298101737
librenet.co.za,noagendasocial.com,55,271,0.2029520295202952,4792,0.007862904549064393,3.2508135696508447
kvlt.zone,laserdisc.party,28,138,0.2028985507246377,1222,0.002005106293605319,4.617009030379818
toot.9wd.eu,die-partei.social,71,350,0.20285714285714285,1606,0.0026351887950328496,4.3435471731445086
toot.host,infosec.exchange,59,291,0.2027491408934708,20335,0.03336647829825218,1.8044177034862618
social.100bureaux.com,framapiaf.org,78,385,0.2025974025974026,7801,0.012800191650094184,2.7617606279068543
social.imirhil.fr,mamot.fr,65,321,0.20249221183800623,16099,0.02641588070437973,2.0367360546166866
mastodon.francil.in,mamot.fr,68,336,0.20238095238095238,16099,0.02641588070437973,2.036186453063968
alphapi.me,wien.rocks,69,341,0.20234604105571846,1359,0.00222990135270837,4.508021958255958
linuxjobs.social,framapiaf.org,71,351,0.2022792022792023,7801,0.012800191650094184,2.7601887890804964
masto.fdlibre.eu,framapiaf.org,74,366,0.20218579234972678,7801,0.012800191650094184,2.75972689530785
mastd.racing,mamot.fr,59,293,0.20136518771331058,16099,0.02641588070437973,2.0311547427397176
ma.zcx.cc,twit.social,30,149,0.20134228187919462,1280,0.0021002750047584354,4.562938063896393
delab.re,framapiaf.org,64,318,0.20125786163522014,7801,0.012800191650094184,2.755126836084542
isosceles.love,glaceon.social,32,159,0.20125786163522014,984,0.0016145864099080473,4.825508148620601
upload.fedithese.net,mamot.fr,64,318,0.20125786163522014,16099,0.02641588070437973,2.0306216084305606
douchi.space,wxw.moe,34,169,0.20118343195266272,3276,0.005375391340303621,3.6223857098134875
prattle.org.uk,mastodon.me.uk,68,338,0.20118343195266272,2284,0.0037476782116158333,3.9830805840105468
sua.anarkis.net,mastodon.nz,34,169,0.20118343195266272,5085,0.00834367062437238,3.182713846303787
jasette.facil.services,framapiaf.org,73,363,0.20110192837465565,7801,0.012800191650094184,2.754351742388587
jasette.facil.services,mamot.fr,73,363,0.20110192837465565,16099,0.02641588070437973,2.0298465147346056
social.lb1a.de,chaos.social,75,373,0.20107238605898123,19443,0.031902849154311144,1.840969651890029
